identifiant,Prénom,Nom,Département,Numéro de circonscription,Groupe politique (complet)
841515,Aurélien,Le Coq,Nord,1,La France insoumise - Nouveau Front Populaire
719412,Sandrine,Le Feur,Finistère,4,Ensemble pour la République
840979,Corentin,Le Fur,Côtes-d'Armor,3,Droite Républicaine
719404,Didier,Le Gac,Finistère,3,Ensemble pour la République
795672,Arnaud,Le Gall,Val-d'Oise,9,La France insoumise - Nouveau Front Populaire
345722,Constance,Le Grip,Hauts-de-Seine,6,Ensemble pour la République
794426,Anne,Le Hénanff,Morbihan,1,Horizons & Indépendants
719388,Annaïg,Le Meur,Finistère,1,Ensemble pour la République
719756,Christine,Le Nabour,Ille-et-Vilaine,5,Ensemble pour la République
720342,Nicole,Le Peih,Morbihan,3,Ensemble pour la République
720614,Marine,Le Pen,Pas-de-Calais,11,Rassemblement National
721852,Marie,Lebec,Yvelines,4,Ensemble pour la République
774962,Karine,Lebon,Réunion,2,Gauche Démocrate et Républicaine
795108,Élise,Leboucher,Sarthe,4,La France insoumise - Nouveau Front Populaire
795374,Pascal,Lecamp,Vienne,3,Les Démocrates
796026,Julie,Lechanteux,Var,5,Rassemblement National
840857,Nadine,Lechon,Dordogne,1,Rassemblement National
335612,Jean-Paul,Lecoq,Seine-Maritime,8,Gauche Démocrate et Républicaine
712014,Vincent,Ledoux,Nord,10,Ensemble pour la République
795386,Mathieu,Lefèvre,Val-de-Marne,5,Ensemble pour la République
795298,Jérôme,Legavre,Seine-Saint-Denis,12,La France insoumise - Nouveau Front Populaire
791824,Sarah,Legrain,Paris,16,La France insoumise - Nouveau Front Populaire
842029,Claire,Lejeune,Essonne,7,La France insoumise - Nouveau Front Populaire
793290,Gisèle,Lelouis,Bouches-du-Rhône,3,Rassemblement National
794838,Didier,Lemaire,Haut-Rhin,3,Horizons & Indépendants
840983,Bartolomé,Lenoir,Creuse,1,Union des droites pour la République
795244,Stéphane,Lenormand,Saint-Pierre-et-Miquelon,1,"Libertés, Indépendants, Outre-mer et Territoires"
695512,Guillaume,Lepers,Lot-et-Garonne,3,Droite Républicaine
793532,Murielle,Lepvraud,Côtes-d'Armor,4,La France insoumise - Nouveau Front Populaire
721134,Roland,Lescure,Français établis hors de France,1,Ensemble pour la République
774958,Gérard,Leseul,Seine-Maritime,5,Socialistes et apparentés
841601,Pauline,Levasseur,Pas-de-Calais,2,Ensemble pour la République
793608,Katiana,Levavasseur,Eure,2,Rassemblement National
840765,Laurent,Lhardit,Bouches-du-Rhône,2,Socialistes et apparentés
794750,Thierry,Liger,Orne,2,Droite Républicaine
841873,Julien,Limongi,Seine-et-Marne,4,Rassemblement National
794702,Delphine,Lingemann,Puy-de-Dôme,4,Les Démocrates
840967,René,Lioret,Côte-d'Or,5,Rassemblement National
720446,Brigitte,Liso,Nord,4,Ensemble pour la République
642725,Eric,Liégeon,Doubs,5,Droite Républicaine
793672,Christine,Loir,Eure,1,Rassemblement National
793904,Aurélien,Lopez-Liguori,Hérault,7,Rassemblement National
721932,Marie-France,Lorho,Vaucluse,4,Rassemblement National
795974,Philippe,Lottiaux,Var,4,Rassemblement National
794590,Alexandre,Loubet,Moselle,7,Rassemblement National
795636,Benjamin,Lucas-Lundy,Yvelines,8,Écologiste et Social
795746,Antoine,Léaument,Essonne,10,La France insoumise - Nouveau Front Populaire
720230,Lise,Magnier,Marne,4,Horizons & Indépendants
841587,David,Magnier,Oise,7,Rassemblement National
717379,Sylvain,Maillard,Paris,1,Ensemble pour la République
796010,Frédéric,Maillot,Réunion,6,Gauche Démocrate et Républicaine
794114,Emmanuel,Mandon,Loire,3,Les Démocrates
841183,Hanane,Mansouri,Isère,8,Union des droites pour la République
841563,Claire,Marais-Beuil,Oise,1,Rassemblement National
794530,Matthieu,Marchio,Nord,16,Rassemblement National
795730,Bastien,Marchive,Deux-Sèvres,1,Ensemble pour la République
